date,percent_stock_change
13-Jan-95,0.95
16-Jan-95,1.87
17-Jan-95,-1.38
18-Jan-95,0.93
19-Jan-95,0.6
20-Jan-95,-0.94
23-Jan-95,-0.95
24-Jan-95,1.89
25-Jan-95,2.77
26-Jan-95,-1.35
27-Jan-95,-0.48
30-Jan-95,0.448611111
31-Jan-95,0.514111111
01-Feb-95,0.579611111
02-Feb-95,0.645111111
03-Feb-95,0.710611111
06-Feb-95,0.776111111
07-Feb-95,0.841611111
08-Feb-95,0.907111111
09-Feb-95,0.972611111
10-Feb-95,-0.9
13-Feb-95,-0.9
14-Feb-95,1.37
15-Feb-95,1.78
16-Feb-95,-2.24
17-Feb-95,0.47
20-Feb-95,0
21-Feb-95,0.89
22-Feb-95,0.88
23-Feb-95,0.88
24-Feb-95,-1.34
27-Feb-95,0
28-Feb-95,1.75
01-Mar-95,0.45
02-Mar-95,0
03-Mar-95,0.41
06-Mar-95,0.45
07-Mar-95,-0.86
08-Mar-95,1.27
09-Mar-95,-0.86
10-Mar-95,0.45
13-Mar-95,-0.45
14-Mar-95,0.86
15-Mar-95,0.44
16-Mar-95,0
17-Mar-95,0
20-Mar-95,0
21-Mar-95,0.41
22-Mar-95,0
23-Mar-95,0
24-Mar-95,-0.41
27-Mar-95,-0.44
28-Mar-95,-0.86
29-Mar-95,0.45
30-Mar-95,-0.45
31-Mar-95,-0.87
03-Apr-95,-0.87
04-Apr-95,0
05-Apr-95,1.32
06-Apr-95,0.41
07-Apr-95,-0.41
10-Apr-95,0.41
11-Apr-95,0.86
12-Apr-95,1.29
13-Apr-95,1.24
17-Apr-95,0.43
18-Apr-95,-0.3
19-Apr-95,-0.84
20-Apr-95,-1.26
21-Apr-95,0.41
24-Apr-95,0.85
25-Apr-95,0
26-Apr-95,1.28
27-Apr-95,-0.44
28-Apr-95,0.44
01-May-95,0.4
02-May-95,-0.4
03-May-95,-0.44
04-May-95,0
05-May-95,0.44
08-May-95,0.83
09-May-95,0.83
10-May-95,0
11-May-95,-1.26
12-May-95,-0.4
15-May-95,0
16-May-95,0.83
17-May-95,0
18-May-95,0.4
19-May-95,0
23-May-95,0
24-May-95,0.82
25-May-95,-0.39
26-May-95,-0.43
29-May-95,-0.4
30-May-95,0
31-May-95,0.4
01-Jun-95,0
02-Jun-95,1.25
05-Jun-95,0.81
06-Jun-95,1.19
07-Jun-95,-0.8
08-Jun-95,0
09-Jun-95,-0.81
12-Jun-95,-0.82
13-Jun-95,1.63
14-Jun-95,-0.81
15-Jun-95,-1.21
16-Jun-95,-0.43
19-Jun-95,0.43
20-Jun-95,0.82
21-Jun-95,-0.82
22-Jun-95,0.82
23-Jun-95,0
26-Jun-95,-0.43
27-Jun-95,0.43
28-Jun-95,0.39
29-Jun-95,0
30-Jun-95,0
04-Jul-95,-0.39
05-Jul-95,0.39
06-Jul-95,0
07-Jul-95,0
10-Jul-95,0.42
11-Jul-95,-0.42
12-Jul-95,0.42
13-Jul-95,-0.81
14-Jul-95,0
17-Jul-95,-0.43
18-Jul-95,-0.82
19-Jul-95,-0.83
20-Jul-95,-0.4
21-Jul-95,-0.3
24-Jul-95,-0.41
25-Jul-95,-0.44
26-Jul-95,0
27-Jul-95,0
28-Jul-95,0
31-Jul-95,0
01-Aug-95,-1.72
02-Aug-95,0.87
03-Aug-95,0.45
04-Aug-95,0
08-Aug-95,0.85
09-Aug-95,0.41
10-Aug-95,0.44
11-Aug-95,0.4
14-Aug-95,0
15-Aug-95,0.44
16-Aug-95,0.4
17-Aug-95,-0.84
18-Aug-95,0
21-Aug-95,-0.4
22-Aug-95,0.84
23-Aug-95,0.83
24-Aug-95,-0.83
25-Aug-95,0.4
28-Aug-95,0.43
29-Aug-95,-0.43
30-Aug-95,-0.84
31-Aug-95,0.44
01-Sep-95,-0.44
05-Sep-95,1.27
06-Sep-95,0.4
07-Sep-95,-1.23
08-Sep-95,0.4
11-Sep-95,-0.84
12-Sep-95,-0.4
13-Sep-95,-0.85
14-Sep-95,-0.44
15-Sep-95,0
18-Sep-95,0.85
19-Sep-95,0
20-Sep-95,0
21-Sep-95,0
22-Sep-95,-0.41
25-Sep-95,0.85
26-Sep-95,0.4
27-Sep-95,-0.84
28-Sep-95,-0.85
