team,hotdog,beer
Angels   ,5,0.416666667
Astros   ,6,0.464285714
Athletics,5.75,0.5
Blue Jays  ,4.13,0.351875
Braves   ,4.25,0.416666667
Brewers  ,6,0.416666667
Cardinals,5,0.416666667
Cubs,6.5,0.59375
Diamondbacks ,2,0.285714286
Dodgers  ,6.75,0.390625
Giants ,6.5,0.589285714
Indians,4.25,0.416666667
Mariners,6.5,0.416666667
Marlins,3,0.416666667
Mets   ,6.75,0.55
Nationals,7,0.5625
Orioles,1.5,0.333333333
Padres ,5.25,0.5
Phillies,4,0.5
Pirates,3.5,0.375
Rangers ,6,0.375
Rays ,5,0.416666667
Reds ,5.5,0.464285714
Red Sox ,5.25,0.708333333
Rockies ,5.5,0.25
Royals  ,5.75,0.333333333
Tigers  ,5,0.416666667
Twins   ,4,0.416666667
White Sox,4.5,0.4375
Yankees,3,0.5
