mpg,horsepower,weight,origin,name
18,130,3504,American,chevrolet chevelle malibu
15,165,3693,American,buick skylark 320
18,150,3436,American,plymouth satellite
16,150,3433,American,amc rebel sst
17,140,3449,American,ford torino
15,198,4341,American,ford galaxie 500
14,220,4354,American,chevrolet impala
14,215,4312,American,plymouth fury iii
14,225,4425,American,pontiac catalina
15,190,3850,American,amc ambassador dpl
15,170,3563,American,dodge challenger se
14,160,3609,American,plymouth 'cuda 340
15,150,3761,American,chevrolet monte carlo
14,225,3086,American,buick estate wagon (sw)
24,95,2372,Japanese,toyota corona mark ii
22,95,2833,American,plymouth duster
18,97,2774,American,amc hornet
21,85,2587,American,ford maverick
27,88,2130,Japanese,datsun pl510
26,46,1835,European,volkswagen 1131 deluxe sedan
25,87,2672,European,peugeot 504
24,90,2430,European,audi 100 ls
25,95,2375,European,saab 99e
26,113,2234,European,bmw 2002
21,90,2648,American,amc gremlin
10,215,4615,American,ford f250
10,200,4376,American,chevy c20
11,210,4382,American,dodge d200
9,193,4732,American,hi 1200d
27,88,2130,Japanese,datsun pl510
28,90,2264,American,chevrolet vega 2300
25,95,2228,Japanese,toyota corona
19,100,2634,American,amc gremlin
16,105,3439,American,plymouth satellite custom
17,100,3329,American,chevrolet chevelle malibu
19,88,3302,American,ford torino 500
18,100,3288,American,amc matador
14,165,4209,American,chevrolet impala
14,175,4464,American,pontiac catalina brougham
14,153,4154,American,ford galaxie 500
14,150,4096,American,plymouth fury iii
12,180,4955,American,dodge monaco (sw)
13,170,4746,American,ford country squire (sw)
13,175,5140,American,pontiac safari (sw)
18,110,2962,American,amc hornet sportabout (sw)
22,72,2408,American,chevrolet vega (sw)
19,100,3282,American,pontiac firebird
18,88,3139,American,ford mustang
23,86,2220,American,mercury capri 2000
28,90,2123,European,opel 1900
30,70,2074,European,peugeot 304
30,76,2065,European,fiat 124b
31,65,1773,Japanese,toyota corolla 1200
35,69,1613,Japanese,datsun 1200
27,60,1834,European,volkswagen model 111
26,70,1955,American,plymouth cricket
24,95,2278,Japanese,toyota corona hardtop
25,80,2126,American,dodge colt hardtop
23,54,2254,European,volkswagen type 3
20,90,2408,American,chevrolet vega
21,86,2226,American,ford pinto runabout
13,165,4274,American,chevrolet impala
14,175,4385,American,pontiac catalina
15,150,4135,American,plymouth fury iii
14,153,4129,American,ford galaxie 500
17,150,3672,American,amc ambassador sst
11,208,4633,American,mercury marquis
13,155,4502,American,buick lesabre custom
12,160,4456,American,oldsmobile delta 88 royale
13,190,4422,American,chrysler newport royal
19,97,2330,Japanese,mazda rx2 coupe
15,150,3892,American,amc matador (sw)
13,130,4098,American,chevrolet chevelle concours (sw)
13,140,4294,American,ford gran torino (sw)
14,150,4077,American,plymouth satellite custom (sw)
18,112,2933,European,volvo 145e (sw)
22,76,2511,European,volkswagen 411 (sw)
21,87,2979,European,peugeot 504 (sw)
26,69,2189,European,renault 12 (sw)
22,86,2395,American,ford pinto (sw)
28,92,2288,Japanese,datsun 510 (sw)
23,97,2506,Japanese,toyouta corona mark ii (sw)
28,80,2164,American,dodge colt (sw)
27,88,2100,Japanese,toyota corolla 1600 (sw)
13,175,4100,American,buick century 350
14,150,3672,American,amc matador
13,145,3988,American,chevrolet malibu
14,137,4042,American,ford gran torino
15,150,3777,American,dodge coronet custom
12,198,4952,American,mercury marquis brougham
13,150,4464,American,chevrolet caprice classic
13,158,4363,American,ford ltd
14,150,4237,American,plymouth fury gran sedan
13,215,4735,American,chrysler new yorker brougham
12,225,4951,American,buick electra 225 custom
13,175,3821,American,amc ambassador brougham
18,105,3121,American,plymouth valiant
16,100,3278,American,chevrolet nova custom
18,100,2945,American,amc hornet
18,88,3021,American,ford maverick
23,95,2904,American,plymouth duster
26,46,1950,European,volkswagen super beetle
11,150,4997,American,chevrolet impala
12,167,4906,American,ford country
13,170,4654,American,plymouth custom suburb
12,180,4499,American,oldsmobile vista cruiser
18,100,2789,American,amc gremlin
20,88,2279,Japanese,toyota carina
21,72,2401,American,chevrolet vega
22,94,2379,Japanese,datsun 610
18,90,2124,Japanese,maxda rx3
19,85,2310,American,ford pinto
21,107,2472,American,mercury capri v6
26,90,2265,European,fiat 124 sport coupe
15,145,4082,American,chevrolet monte carlo s
16,230,4278,American,pontiac grand prix
29,49,1867,European,fiat 128
24,75,2158,European,opel manta
20,91,2582,European,audi 100ls
19,112,2868,European,volvo 144ea
15,150,3399,American,dodge dart custom
24,110,2660,European,saab 99le
20,122,2807,Japanese,toyota mark ii
11,180,3664,American,oldsmobile omega
20,95,3102,American,plymouth duster
19,100,2901,American,amc hornet
15,100,3336,American,chevrolet nova
31,67,1950,Japanese,datsun b210
26,80,2451,American,ford pinto
32,65,1836,Japanese,toyota corolla 1200
25,75,2542,American,chevrolet vega
16,100,3781,American,chevrolet chevelle malibu classic
16,110,3632,American,amc matador
18,105,3613,American,plymouth satellite sebring
16,140,4141,American,ford gran torino
13,150,4699,American,buick century luxus (sw)
14,150,4457,American,dodge coronet custom (sw)
14,140,4638,American,ford gran torino (sw)
14,150,4257,American,amc matador (sw)
29,83,2219,European,audi fox
26,67,1963,European,volkswagen dasher
26,78,2300,European,opel manta
31,52,1649,Japanese,toyota corona
32,61,2003,Japanese,datsun 710
28,75,2125,American,dodge colt
24,75,2108,European,fiat 128
26,75,2246,European,fiat 124 tc
24,97,2489,Japanese,honda civic
26,93,2391,Japanese,subaru
31,67,2000,European,fiat x1.9
19,95,3264,American,plymouth valiant custom
18,105,3459,American,chevrolet nova
15,72,3432,American,mercury monarch
15,72,3158,American,ford maverick
16,170,4668,American,pontiac catalina
15,145,4440,American,chevrolet bel air
16,150,4498,American,plymouth grand fury
14,148,4657,American,ford ltd
17,110,3907,American,buick century
16,105,3897,American,chevroelt chevelle malibu
15,110,3730,American,amc matador
18,95,3785,American,plymouth fury
21,110,3039,American,buick skyhawk
20,110,3221,American,chevrolet monza 2+2
13,129,3169,American,ford mustang ii
29,75,2171,Japanese,toyota corolla
23,83,2639,American,ford pinto
20,100,2914,American,amc gremlin
23,78,2592,American,pontiac astro
24,96,2702,Japanese,toyota corona
25,71,2223,European,volkswagen dasher
24,97,2545,Japanese,datsun 710
18,97,2984,American,ford pinto
29,70,1937,European,volkswagen rabbit
19,90,3211,American,amc pacer
23,95,2694,European,audi 100ls
23,88,2957,European,peugeot 504
22,98,2945,European,volvo 244dl
25,115,2671,European,saab 99le
33,53,1795,Japanese,honda civic cvcc
28,86,2464,European,fiat 131
25,81,2220,European,opel 1900
25,92,2572,American,capri ii
26,79,2255,American,dodge colt
27,83,2202,European,renault 12tl
17.5,140,4215,American,chevrolet chevelle malibu classic
16,150,4190,American,dodge coronet brougham
15.5,120,3962,American,amc matador
14.5,152,4215,American,ford gran torino
22,100,3233,American,plymouth valiant
22,105,3353,American,chevrolet nova
24,81,3012,American,ford maverick
22.5,90,3085,American,amc hornet
29,52,2035,American,chevrolet chevette
24.5,60,2164,American,chevrolet woody
29,70,1937,European,vw rabbit
33,53,1795,Japanese,honda civic
20,100,3651,American,dodge aspen se
18,78,3574,American,ford granada ghia
18.5,110,3645,American,pontiac ventura sj
17.5,95,3193,American,amc pacer d/l
29.5,71,1825,European,volkswagen rabbit
32,70,1990,Japanese,datsun b-210
28,75,2155,Japanese,toyota corolla
26.5,72,2565,American,ford pinto
20,102,3150,European,volvo 245
13,150,3940,American,plymouth volare premier v8
19,88,3270,European,peugeot 504
19,108,2930,Japanese,toyota mark ii
16.5,120,3820,European,mercedes-benz 280s
16.5,180,4380,American,cadillac seville
13,145,4055,American,chevy c10
13,130,3870,American,ford f108
13,150,3755,American,dodge d100
31.5,68,2045,Japanese,honda accord cvcc
30,80,2155,American,buick opel isuzu deluxe
36,58,1825,European,renault 5 gtl
25.5,96,2300,American,plymouth arrow gs
33.5,70,1945,Japanese,datsun f-10 hatchback
17.5,145,3880,American,chevrolet caprice classic
17,110,4060,American,oldsmobile cutlass supreme
15.5,145,4140,American,dodge monaco brougham
15,130,4295,American,mercury cougar brougham
17.5,110,3520,American,chevrolet concours
20.5,105,3425,American,buick skylark
19,100,3630,American,plymouth volare custom
18.5,98,3525,American,ford granada
16,180,4220,American,pontiac grand prix lj
15.5,170,4165,American,chevrolet monte carlo landau
15.5,190,4325,American,chrysler cordoba
16,149,4335,American,ford thunderbird
29,78,1940,European,volkswagen rabbit custom
24.5,88,2740,American,pontiac sunbird coupe
26,75,2265,Japanese,toyota corolla liftback
25.5,89,2755,American,ford mustang ii 2+2
30.5,63,2051,American,chevrolet chevette
33.5,83,2075,American,dodge colt m/m
30,67,1985,Japanese,subaru dl
30.5,78,2190,European,volkswagen dasher
22,97,2815,Japanese,datsun 810
21.5,110,2600,European,bmw 320i
21.5,110,2720,Japanese,mazda rx-4
43.1,48,1985,European,volkswagen rabbit custom diesel
36.1,66,1800,American,ford fiesta
32.8,52,1985,Japanese,mazda glc deluxe
39.4,70,2070,Japanese,datsun b210 gx
36.1,60,1800,Japanese,honda civic cvcc
19.9,110,3365,American,oldsmobile cutlass salon brougham
19.4,140,3735,American,dodge diplomat
20.2,139,3570,American,mercury monarch ghia
19.2,105,3535,American,pontiac phoenix lj
20.5,95,3155,American,chevrolet malibu
20.2,85,2965,American,ford fairmont (auto)
25.1,88,2720,American,ford fairmont (man)
20.5,100,3430,American,plymouth volare
19.4,90,3210,American,amc concord
20.6,105,3380,American,buick century special
20.8,85,3070,American,mercury zephyr
18.6,110,3620,American,dodge aspen
18.1,120,3410,American,amc concord d/l
19.2,145,3425,American,chevrolet monte carlo landau
17.7,165,3445,American,buick regal sport coupe (turbo)
18.1,139,3205,American,ford futura
17.5,140,4080,American,dodge magnum xe
30,68,2155,American,chevrolet chevette
27.5,95,2560,Japanese,toyota corona
27.2,97,2300,Japanese,datsun 510
30.9,75,2230,American,dodge omni
21.1,95,2515,Japanese,toyota celica gt liftback
23.2,105,2745,American,plymouth sapporo
23.8,85,2855,American,oldsmobile starfire sx
23.9,97,2405,Japanese,datsun 200-sx
20.3,103,2830,European,audi 5000
17,125,3140,European,volvo 264gl
21.6,115,2795,European,saab 99gle
16.2,133,3410,European,peugeot 604sl
31.5,71,1990,European,volkswagen scirocco
29.5,68,2135,Japanese,honda accord lx
21.5,115,3245,American,pontiac lemans v6
19.8,85,2990,American,mercury zephyr 6
22.3,88,2890,American,ford fairmont 4
20.2,90,3265,American,amc concord dl 6
20.6,110,3360,American,dodge aspen 6
