PassengerID,LivingStatus,TicketClass,Sex
1,Died,3,male
2,Survived,1,female
3,Survived,3,female
4,Survived,1,female
5,Died,3,male
6,Died,3,male
7,Died,1,male
8,Died,3,male
9,Survived,3,female
10,Survived,2,female
11,Survived,3,female
12,Survived,1,female
13,Died,3,male
14,Died,3,male
15,Died,3,female
16,Survived,2,female
17,Died,3,male
18,Survived,2,male
19,Died,3,female
20,Survived,3,female
21,Died,2,male
22,Survived,2,male
23,Survived,3,female
24,Survived,1,male
25,Died,3,female
26,Survived,3,female
27,Died,3,male
28,Died,1,male
29,Survived,3,female
30,Died,3,male
31,Died,1,male
32,Survived,1,female
33,Survived,3,female
34,Died,2,male
35,Died,1,male
36,Died,1,male
37,Survived,3,male
38,Died,3,male
39,Died,3,female
40,Survived,3,female
41,Died,3,female
42,Died,2,female
43,Died,3,male
44,Survived,2,female
45,Survived,3,female
46,Died,3,male
47,Died,3,male
48,Survived,3,female
49,Died,3,male
50,Died,3,female
51,Died,3,male
52,Died,3,male
53,Survived,1,female
54,Survived,2,female
55,Died,1,male
56,Survived,1,male
57,Survived,2,female
58,Died,3,male
59,Survived,2,female
60,Died,3,male
61,Died,3,male
62,Survived,1,female
63,Died,1,male
64,Died,3,male
65,Died,1,male
66,Survived,3,male
67,Survived,2,female
68,Died,3,male
69,Survived,3,female
70,Died,3,male
71,Died,2,male
72,Died,3,female
73,Died,2,male
74,Died,3,male
75,Survived,3,male
76,Died,3,male
77,Died,3,male
78,Died,3,male
79,Survived,2,male
80,Survived,3,female
81,Died,3,male
82,Survived,3,male
83,Survived,3,female
84,Died,1,male
85,Survived,2,female
86,Survived,3,female
87,Died,3,male
88,Died,3,male
89,Survived,1,female
90,Died,3,male
91,Died,3,male
92,Died,3,male
93,Died,1,male
94,Died,3,male
95,Died,3,male
96,Died,3,male
97,Died,1,male
98,Survived,1,male
99,Survived,2,female
100,Died,2,male
101,Died,3,female
102,Died,3,male
103,Died,1,male
104,Died,3,male
105,Died,3,male
106,Died,3,male
107,Survived,3,female
108,Survived,3,male
109,Died,3,male
110,Survived,3,female
111,Died,1,male
112,Died,3,female
113,Died,3,male
114,Died,3,female
115,Died,3,female
116,Died,3,male
117,Died,3,male
118,Died,2,male
119,Died,1,male
120,Died,3,female
121,Died,2,male
122,Died,3,male
123,Died,2,male
124,Survived,2,female
125,Died,1,male
126,Survived,3,male
127,Died,3,male
128,Survived,3,male
129,Survived,3,female
130,Died,3,male
131,Died,3,male
132,Died,3,male
133,Died,3,female
134,Survived,2,female
135,Died,2,male
136,Died,2,male
137,Survived,1,female
138,Died,1,male
139,Died,3,male
140,Died,1,male
141,Died,3,female
142,Survived,3,female
143,Survived,3,female
