Year,Boats,Kills
1977,447,13
1978,460,21
1979,481,24
1980,498,16
1981,513,24
1982,512,20
1983,526,15
1984,559,34
1985,585,33
1986,614,33
1987,645,39
1988,675,43
1989,711,50
1990,719,47
1991,681,53
1992,679,38
1993,678,35
1994,696,49
1995,713,42
1996,732,60
1997,755,54
1998,809,66
1999,830,82
2000,880,78
2001,944,81
2002,962,95
2003,978,73
2004,983,69
2005,1010,79
2006,1024,92
2007,1027,73
2008,1010,90
2009,982,97
2010,942,83
2011,922,88
2012,902,82
2013,897,73
2014,900,69
2015,916,86
2016,931,106
2017,944,111
2018,951,124
