age,height_cm,weight_kg,work_rate_att,overall
20,175,70,Medium,58
29,183,80,High,65
35,183,78,High,67
24,178,72,Medium,69
23,173,73,Medium,70
22,174,69,Medium,58
23,172,66,Medium,66
21,173,72,High,69
24,185,87,Medium,65
27,185,90,Medium,60
32,185,80,Medium,75
27,184,80,High,71
29,187,88,Medium,67
25,183,79,Medium,72
24,181,72,Medium,63
31,183,80,Medium,71
17,174,70,Medium,61
34,182,78,Medium,74
31,178,75,High,79
17,183,73,Medium,63
17,187,68,Medium,63
18,172,70,Medium,58
35,177,68,Medium,74
18,180,67,Medium,49
29,192,77,Low,68
18,180,75,Medium,51
28,178,86,High,63
32,187,82,Medium,66
22,196,93,Low,66
20,181,75,Medium,71
37,182,76,Medium,70
26,181,71,Low,73
32,170,65,High,76
24,190,82,Medium,69
27,194,85,Medium,72
26,185,85,Medium,78
26,193,88,Medium,62
27,192,81,High,71
20,174,68,Medium,57
29,193,84,Low,66
29,179,70,Medium,65
23,179,78,Medium,68
22,185,72,Medium,63
17,177,73,Medium,58
20,182,67,Medium,64
22,173,69,Medium,62
26,176,71,Medium,56
22,181,72,Medium,73
24,185,71,Medium,62
24,178,71,Medium,61
25,174,75,Medium,68
27,178,79,High,65
23,188,76,Medium,62
21,183,67,Medium,64
33,174,72,Medium,72
23,183,79,High,68
29,169,65,Medium,64
25,175,70,High,65
27,180,83,Medium,62
17,179,66,Medium,57
22,185,79,Medium,71
33,177,71,Medium,69
21,190,75,Medium,61
23,186,78,High,67
26,186,78,Low,63
27,186,82,Medium,73
21,182,75,Low,62
34,185,86,Medium,72
25,186,84,Medium,72
28,173,70,High,77
30,185,78,Medium,66
25,190,80,Medium,67
22,182,73,Medium,53
25,178,72,High,77
26,179,72,Medium,69
27,167,60,Medium,69
24,183,70,Medium,63
25,188,75,Medium,62
27,182,76,High,65
27,184,75,Medium,67
25,177,65,High,69
20,188,78,Medium,65
17,180,70,Medium,53
21,184,80,Medium,60
23,180,77,Medium,65
35,183,64,Medium,66
21,187,78,Medium,75
27,180,76,Medium,75
25,172,63,Medium,71
23,185,77,Medium,77
22,194,80,High,56
29,182,73,Medium,73
26,186,78,Medium,73
22,186,70,Medium,65
29,188,81,Low,73
17,170,69,Medium,55
21,178,65,High,55
24,183,76,Medium,64
33,178,65,Medium,75
18,185,75,Medium,60
28,168,69,Medium,61
