SeriousDlqin2yrs,age,NumberOfTime3059DaysPastDueNotWorse,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime6089DaysPastDueNotWorse,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,DebtRatio
0.0,56,1,3714.0,6,0,0,0,0.0,0.147047386,0.11440107699999999
0.0,35,0,3900.0,8,0,1,0,2.0,0.982232725,0.799282235
0.0,39,0,12660.0,9,0,2,0,2.0,0.13653642,0.267040518
0.0,71,0,3500.0,5,0,0,0,0.0,0.045505408,0.021708083
0.0,59,0,3000.0,5,0,0,0,1.0,0.030994834,0.279240253
0.0,36,0,6250.0,5,0,0,0,2.0,0.331857323,0.09742441199999999
0.0,78,0,3000.0,6,0,0,0,0.0,0.010645886,0.00733089
0.0,52,0,6757.0,8,0,0,0,0.0,0.203162247,0.11275525300000001
0.0,40,0,3734.0,8,0,1,0,1.0,0.0,0.38741633200000003
0.0,57,0,10833.0,9,0,2,0,0.0,0.023634829,0.21515599
0.0,39,0,3000.0,10,0,2,0,4.0,0.180268138,0.342885705
0.0,59,0,10100.0,14,0,3,0,0.0,0.0,0.352836353
0.0,68,0,10500.0,15,0,3,0,1.0,0.0014267000000000001,0.185220455
0.0,77,1,4300.0,11,0,1,0,0.0,0.17601629800000002,0.232271565
0.0,45,0,3092.0,4,0,0,0,2.0,0.12727134199999998,0.03233107
0.0,51,0,9985.0,17,0,4,0,0.0,0.069987616,0.38924494299999995
0.0,54,0,2673.0,8,0,1,0,0.0,0.011597477,0.567314884
0.0,52,0,3500.0,8,0,0,0,0.0,0.713458281,0.343330477
0.0,56,0,3822.0,9,0,1,0,0.0,0.514194019,0.5398901389999999
0.0,49,2,5050.0,9,0,0,1,3.0,0.515429989,0.274005147
0.0,49,0,4647.0,14,0,3,0,0.0,0.015572167,0.341006885
0.0,54,0,3500.0,9,0,0,0,0.0,0.032945929,0.008283348000000001
0.0,67,0,15000.0,8,0,1,0,0.0,0.107475924,0.128124792
0.0,46,0,16666.0,6,0,1,0,2.0,0.049677019,0.38363232700000005
0.0,66,3,6000.0,16,0,1,0,0.0,0.21993432100000002,0.98950175
0.0,73,0,3797.0,13,0,3,0,0.0,0.175136609,0.6079515529999999
0.0,64,0,6442.0,5,0,1,0,0.0,0.0,0.234362874
0.0,45,0,6500.0,4,0,0,0,2.0,0.500577666,0.12936471300000002
0.0,40,0,6500.0,10,0,0,0,0.0,0.7888225759999999,0.42516535899999996
0.0,28,0,5800.0,5,0,0,0,0.0,0.092821216,0.023961386
0.0,47,2,14500.0,10,0,2,1,0.0,0.984595256,0.313702503
0.0,52,0,10000.0,10,0,1,0,0.0,0.24718235,0.10368963099999999
0.0,81,0,2400.0,4,0,0,0,0.0,0.033296397,0.014993753
0.0,67,0,5475.0,11,0,1,0,0.0,0.017908683999999998,0.133308985
0.0,52,0,11564.0,18,0,2,0,1.0,0.402431331,0.237527021
0.0,64,0,5218.0,7,0,1,0,0.0,0.044905825,0.164016095
0.0,38,0,12750.0,9,0,2,0,2.0,0.172173954,0.136459885
0.0,43,0,15550.0,7,0,2,0,2.0,0.0,0.6148157670000001
0.0,37,0,4367.0,8,0,0,0,4.0,0.034300951,0.121794872
