Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
27,Portugal,86,87,Manchester United,78500000.0,190000.0,Right,3.0,3.0,4.0,Stocky,Middle,179,69
30,Argentina,85,85,Sevilla FC,46500000.0,46000.0,Left,2.0,3.0,3.0,Stocky,Back,172,69
31,Belgium,91,91,Manchester City,107500000.0,350000.0,Right,4.0,5.0,4.0,Stocky,Middle,181,70
25,Italy,86,89,Inter,89500000.0,110000.0,Right,3.0,3.0,3.0,Normal,Middle,172,68
27,Germany,89,90,FC Bayern München,105500000.0,130000.0,Right,4.0,4.0,3.0,Normal,Middle,177,75
30,Austria,86,86,Real Madrid CF,55500000.0,220000.0,Left,4.0,4.0,3.0,Normal,Back,180,78
32,Brazil,83,83,Al Ahli,28500000.0,61000.0,Right,3.0,4.0,4.0,Normal,Middle,183,80
28,Portugal,88,88,Manchester City,82500000.0,250000.0,Right,3.0,4.0,4.0,Stocky,Back,182,74
26,Italy,84,87,Roma,55000000.0,95000.0,Right,2.0,4.0,3.0,Lean,Middle,186,77
36,Croatia,88,88,Real Madrid CF,29000000.0,230000.0,Right,4.0,4.0,4.0,Lean,Middle,172,66
27,Serbia,86,87,Lazio,77500000.0,90000.0,Right,3.0,5.0,4.0,Normal,Middle,191,76
26,Spain,83,86,Real Sociedad,47000000.0,49000.0,Left,1.0,3.0,3.0,Normal,Middle,189,83
27,Spain,84,85,Atlético de Madrid,48000000.0,81000.0,Right,3.0,4.0,3.0,Lean,Middle,184,74
25,Netherlands,87,92,FC Barcelona,116500000.0,230000.0,Right,3.0,3.0,4.0,Stocky,Middle,180,74
31,France,83,83,Atlético de Madrid,30500000.0,185000.0,Left,4.0,3.0,4.0,Stocky,Forward,176,73
34,Colombia,83,83,Juventus,13500000.0,120000.0,Right,3.0,3.0,5.0,Lean,Back,179,72
29,Serbia,85,85,Eintracht Frankfurt,53000000.0,56000.0,Left,3.0,2.0,3.0,Normal,Middle,184,84
23,England,87,90,Liverpool,100500000.0,150000.0,Right,3.0,4.0,3.0,Stocky,Back,180,69
35,Uruguay,84,84,Club Nacional de Football,18000000.0,1000.0,Right,4.0,4.0,3.0,Stocky,Forward,182,86
23,Morocco,84,87,Paris Saint-Germain,53500000.0,90000.0,Right,2.0,4.0,4.0,Lean,Back,181,73
29,Croatia,86,86,Inter,58000000.0,110000.0,Right,3.0,4.0,3.0,Lean,Middle,181,68
30,Egypt,90,90,Liverpool,115500000.0,270000.0,Left,4.0,3.0,4.0,Stocky,Back,175,71
22,Italy,84,90,AC Milan,62500000.0,75000.0,Right,1.0,4.0,3.0,Stocky,Middle,181,79
31,Spain,86,86,Liverpool,55500000.0,180000.0,Right,3.0,3.0,5.0,Normal,Middle,174,70
22,England,84,88,Chelsea,57000000.0,120000.0,Right,2.0,3.0,3.0,Stocky,Back,178,87
33,Spain,85,85,FC Barcelona,28000000.0,190000.0,Left,3.0,3.0,3.0,Stocky,Back,170,68
31,Spain,84,84,Real Betis Balompié,35000000.0,42000.0,Left,2.0,3.0,4.0,Lean,Middle,176,65
24,Algeria,82,86,AC Milan,40000000.0,63000.0,Left,2.0,3.0,4.0,Lean,Middle,175,70
29,Ukraine,82,82,Atalanta,30500000.0,73000.0,Left,3.0,4.0,4.0,Stocky,Forward,181,79
23,United States,80,85,Juventus,31500000.0,90000.0,Right,2.0,3.0,3.0,Normal,Middle,183,84
30,Brazil,89,89,Real Madrid CF,86000000.0,300000.0,Right,3.0,3.0,2.0,Stocky,Middle,185,84
25,Spain,83,85,TSG Hoffenheim,42000000.0,64000.0,Left,2.0,3.0,4.0,Normal,Back,171,69
28,France,82,82,Aston Villa,27500000.0,100000.0,Left,2.0,2.0,3.0,Stocky,Back,178,74
33,Poland,91,91,FC Barcelona,84000000.0,420000.0,Right,5.0,4.0,4.0,Stocky,Forward,185,81
25,Uruguay,78,79,River Plate,16500000.0,19000.0,Right,1.0,4.0,4.0,Normal,Middle,167,65
32,England,85,85,Manchester City,37500000.0,170000.0,Right,3.0,2.0,3.0,Stocky,Back,183,83
24,France,85,90,AC Milan,76000000.0,82000.0,Left,3.0,3.0,3.0,Stocky,Back,184,81
28,France,81,81,Stade Rennais FC,26000000.0,66000.0,Right,2.0,3.0,3.0,Lean,Back,178,68
27,Germany,82,82,Inter,29500000.0,59000.0,Left,3.0,3.0,3.0,Normal,Middle,183,76
31,Netherlands,80,80,Roma,17500000.0,83000.0,Right,3.0,4.0,3.0,Stocky,Middle,175,74
27,France,81,81,Olympique Lyonnais,27500000.0,75000.0,Right,3.0,3.0,3.0,Normal,Middle,181,81
28,England,89,89,Tottenham Hotspur,105500000.0,240000.0,Right,4.0,5.0,3.0,Stocky,Forward,188,89
30,Spain,83,83,Atlético de Madrid,34500000.0,74000.0,Right,3.0,4.0,3.0,Normal,Middle,176,77
30,England,78,78,Rangers FC,12000000.0,51000.0,Right,1.0,3.0,3.0,Lean,Back,182,75
32,England,83,83,Liverpool,28500000.0,135000.0,Right,3.0,3.0,3.0,Normal,Middle,182,80
35,Argentina,91,91,Paris Saint-Germain,54000000.0,195000.0,Left,5.0,4.0,4.0,Stocky,Back,169,67
29,Italy,87,87,Paris Saint-Germain,77500000.0,155000.0,Right,3.0,4.0,4.0,Stocky,Middle,165,60
31,Colombia,81,81,FC Porto,21000000.0,19000.0,Right,1.0,4.0,3.0,Normal,Middle,183,77
30,Senegal,89,89,FC Bayern München,99500000.0,145000.0,Right,4.0,4.0,4.0,Stocky,Forward,174,69
24,Brazil,82,87,Olympique Lyonnais,46000000.0,70000.0,Left,2.0,4.0,5.0,Normal,Middle,180,72
28,Spain,82,82,RCD Espanyol de Barcelona,30500000.0,30000.0,Right,1.0,3.0,3.0,Lean,Middle,180,71
25,Belgium,84,86,Leicester City,52500000.0,115000.0,Right,2.0,5.0,4.0,Normal,Middle,176,72
29,Brazil,80,80,Manchester United,20500000.0,120000.0,Left,3.0,3.0,4.0,Lean,Middle,169,62
27,Portugal,88,88,Manchester City,97500000.0,260000.0,Left,2.0,3.0,4.0,Lean,Middle,173,64
26,Spain,82,85,SL Benfica,36500000.0,19000.0,Left,3.0,2.0,3.0,Lean,Back,172,67
25,Spain,83,88,Valencia CF,53000000.0,51000.0,Right,2.0,4.0,3.0,Normal,Middle,180,76
19,England,84,91,Borussia Dortmund,81500000.0,41000.0,Right,2.0,4.0,4.0,Lean,Middle,186,75
29,Central African Republic,82,82,Atlético de Madrid,29500000.0,71000.0,Left,2.0,3.0,3.0,Lean,Middle,188,80
31,England,84,84,Newcastle United,30500000.0,120000.0,Right,2.0,4.0,3.0,Normal,Back,173,71
23,France,91,95,Paris Saint-Germain,190500000.0,230000.0,Right,4.0,4.0,5.0,Stocky,Forward,182,73
22,Nigeria,81,88,AFC Richmond,52500000.0,55000.0,Right,1.0,3.0,3.0,Lean,Middle,185,77
32,Spain,82,82,Athletic Club de Bilbao,21000000.0,35000.0,Left,2.0,3.0,3.0,Normal,Back,181,80
29,Mexico,81,81,Sevilla FC,25500000.0,40000.0,Right,3.0,5.0,5.0,Normal,Back,173,66
25,Argentina,76,80,Unión Deportiva Almería,10500000.0,24000.0,Right,1.0,4.0,4.0,Normal,Middle,175,70
28,Turkey,84,84,Inter,42000000.0,100000.0,Right,3.0,4.0,4.0,Normal,Middle,178,76
25,Portugal,83,86,Wolverhampton Wanderers,47500000.0,105000.0,Right,2.0,4.0,3.0,Normal,Middle,180,80
34,Argentina,79,79,Rayo Vallecano,8000000.0,25000.0,Right,1.0,4.0,3.0,Normal,Middle,180,79
28,Germany,81,81,Bayer 04 Leverkusen,25500000.0,65000.0,Left,2.0,4.0,4.0,Normal,Middle,183,71
28,Portugal,82,82,Borussia Dortmund,27500000.0,57000.0,Left,3.0,2.0,4.0,Normal,Back,170,71
21,Canada,84,89,FC Bayern München,60500000.0,59000.0,Left,3.0,4.0,4.0,Stocky,Back,185,77
24,Netherlands,80,84,Atalanta,30000000.0,49000.0,Left,2.0,2.0,3.0,Normal,Middle,183,77
36,Spain,83,83,Sevilla FC,8000000.0,28000.0,Right,2.0,2.0,4.0,Lean,Back,172,60
28,Portugal,83,83,Leicester City,33000000.0,105000.0,Right,3.0,4.0,3.0,Stocky,Back,175,70
28,Brazil,87,88,Liverpool,77000000.0,185000.0,Right,3.0,2.0,3.0,Stocky,Middle,188,78
24,Argentina,86,90,Inter,98500000.0,110000.0,Right,3.0,4.0,4.0,Stocky,Forward,174,72
33,Spain,86,86,Villarreal CF,42000000.0,64000.0,Right,2.0,4.0,3.0,Normal,Middle,182,74
29,Italy,80,80,Fiorentina,18500000.0,58000.0,Left,2.0,3.0,3.0,Normal,Back,185,78
37,Portugal,90,90,Manchester United,41000000.0,220000.0,Right,5.0,4.0,5.0,Stocky,Forward,187,83
27,France,83,84,Real Madrid CF,38000000.0,170000.0,Left,1.0,5.0,4.0,Stocky,Back,180,73
30,Brazil,89,89,Paris Saint-Germain,99500000.0,200000.0,Right,5.0,5.0,5.0,Stocky,Back,175,68
32,Wales,81,81,Los Angeles FC,20500000.0,14000.0,Left,4.0,3.0,4.0,Stocky,Forward,185,82
27,Germany,81,82,Bayer 04 Leverkusen,26500000.0,57000.0,Right,2.0,4.0,3.0,Normal,Middle,187,83
25,Austria,83,84,RB Leipzig,38500000.0,64000.0,Right,2.0,3.0,3.0,Lean,Middle,180,72
33,Germany,85,85,Borussia Dortmund,33500000.0,78000.0,Right,4.0,4.0,4.0,Stocky,Middle,180,71
28,Germany,80,81,VfL Wolfsburg,20500000.0,51000.0,Left,2.0,2.0,3.0,Normal,Middle,184,74
31,France,89,89,Chelsea,72000000.0,220000.0,Right,4.0,3.0,2.0,Stocky,Middle,168,70
28,Scotland,87,87,Liverpool,72000000.0,185000.0,Left,3.0,2.0,3.0,Stocky,Back,178,64
28,Belgium,85,85,Atlético de Madrid,54500000.0,90000.0,Right,3.0,4.0,4.0,Lean,Middle,185,73
28,Brazil,82,82,Al Nassr,31000000.0,64000.0,Left,2.0,4.0,4.0,Stocky,Forward,190,80
30,Italy,78,78,Hellas Verona,12000000.0,27000.0,Right,1.0,4.0,3.0,Normal,Middle,180,71
30,France,81,81,Montpellier Hérault SC,25000000.0,33000.0,Right,2.0,5.0,4.0,Normal,Middle,172,69
29,Romania,79,79,Wuhan Three Towns,17000000.0,26000.0,Right,2.0,4.0,4.0,Normal,Middle,170,63
27,England,81,82,Southampton,29500000.0,69000.0,Right,2.0,3.0,3.0,Normal,Middle,173,66
34,Argentina,77,77,River Plate,3900000.0,17000.0,Right,1.0,5.0,3.0,Stocky,Back,170,69
34,Belgium,76,76,Royal Antwerp FC,3500000.0,22000.0,Right,3.0,3.0,3.0,Stocky,Middle,177,89
34,France,91,91,Real Madrid CF,64000000.0,450000.0,Right,4.0,4.0,4.0,Normal,Forward,185,81
32,Germany,88,88,Real Madrid CF,72000000.0,310000.0,Right,4.0,5.0,3.0,Normal,Middle,183,76
32,Germany,88,88,FC Bayern München,29500000.0,200000.0,Right,4.0,3.0,3.0,Normal,Back,170,66
34,Argentina,81,81,Al Shabab,12000000.0,47000.0,Right,3.0,4.0,4.0,Normal,Middle,176,78
22,Spain,81,87,Sporting CP,38500000.0,15000.0,Right,1.0,3.0,3.0,Normal,Back,173,69
27,Czech Republic,81,82,Hellas Verona,30000000.0,41000.0,Left,1.0,3.0,4.0,Normal,Forward,190,86
29,Ghana,84,84,Arsenal,36000000.0,115000.0,Right,2.0,3.0,3.0,Lean,Middle,185,77
34,Argentina,84,84,Juventus,20000000.0,160000.0,Left,4.0,2.0,5.0,Stocky,Back,180,69
32,Brazil,85,85,Atlético de Madrid,21500000.0,80000.0,Left,3.0,3.0,3.0,Lean,Back,182,74
29,Korea Republic,89,89,Tottenham Hotspur,101000000.0,240000.0,Right,4.0,5.0,4.0,Stocky,Back,183,78
32,Germany,87,87,FC Bayern München,63000000.0,115000.0,Right,4.0,4.0,3.0,Lean,Middle,185,76
36,Spain,84,84,Paris Saint-Germain,7500000.0,75000.0,Right,4.0,3.0,3.0,Stocky,Back,184,82
32,Italy,78,78,Fiorentina,11000000.0,52000.0,Right,2.0,3.0,4.0,Normal,Middle,181,75
28,Italy,82,82,Napoli,27500000.0,66000.0,Right,2.0,3.0,3.0,Normal,Back,183,83
34,Slovakia,80,80,Trabzonspor,9500000.0,45000.0,Right,3.0,5.0,4.0,Normal,Middle,183,73
33,Brazil,80,80,Shanghai Port FC,13000000.0,20000.0,Left,4.0,3.0,4.0,Stocky,Back,180,85
26,Spain,87,89,Manchester City,88500000.0,200000.0,Right,3.0,4.0,3.0,Normal,Middle,191,82
25,Ukraine,79,82,Arsenal,21500000.0,73000.0,Left,2.0,3.0,3.0,Lean,Back,175,64
21,Argentina,78,87,SL Benfica,31500000.0,12000.0,Right,1.0,4.0,3.0,Normal,Middle,180,77
30,Brazil,81,81,RB Bragantino,22000000.0,23000.0,Left,1.0,4.0,2.0,Normal,Back,172,68
32,Spain,80,80,Unión Deportiva Las Palmas,16500000.0,14000.0,Right,2.0,4.0,4.0,Lean,Middle,171,67
30,Italy,85,85,Chelsea,51500000.0,165000.0,Right,2.0,3.0,3.0,Lean,Middle,180,68
27,Scotland,79,80,Aston Villa,20000000.0,83000.0,Left,2.0,2.0,3.0,Normal,Middle,178,68
23,France,80,86,Olympique de Marseille,33000000.0,41000.0,Right,1.0,3.0,4.0,Lean,Middle,185,68
30,Portugal,79,79,Galatasaray SK,17000000.0,70000.0,Right,1.0,4.0,3.0,Normal,Middle,181,78
28,France,85,85,Real Betis Balompié,54500000.0,48000.0,Left,3.0,4.0,4.0,Stocky,Middle,173,75
28,Poland,83,83,Napoli,36500000.0,78000.0,Right,3.0,5.0,4.0,Lean,Middle,180,75
26,Spain,83,85,Napoli,44500000.0,75000.0,Left,2.0,3.0,4.0,Normal,Middle,189,70
32,Mexico,80,80,Houston Dynamo,16500000.0,12000.0,Right,3.0,4.0,3.0,Normal,Middle,185,78
24,Germany,80,84,VfL Wolfsburg,30000000.0,46000.0,Right,2.0,4.0,3.0,Normal,Back,176,75
27,France,78,79,Olympique de Marseille,16000000.0,40000.0,Right,2.0,4.0,3.0,Lean,Middle,172,70
21,Norway,88,94,Manchester City,148000000.0,220000.0,Left,4.0,3.0,3.0,Stocky,Forward,195,94
24,Italy,82,86,Juventus,40000000.0,37000.0,Right,2.0,4.0,3.0,Lean,Middle,185,75
25,Switzerland,80,82,Eintracht Frankfurt,26500000.0,34000.0,Right,2.0,4.0,3.0,Lean,Middle,184,76
23,England,84,87,Chelsea,57500000.0,130000.0,Right,3.0,4.0,3.0,Lean,Back,180,74
35,England,85,85,Leicester City,23000000.0,110000.0,Right,3.0,4.0,3.0,Stocky,Forward,179,74
27,Côte d'Ivoire,81,81,Racing Club de Lens,27500000.0,43000.0,Right,2.0,4.0,4.0,Normal,Middle,185,74
30,Netherlands,90,90,Liverpool,98000000.0,230000.0,Right,4.0,3.0,2.0,Stocky,Back,193,92
