opposingTeam,home_or_away,icetime,gameScore,I_F_primaryAssists,I_F_secondaryAssists,log10_I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_penalityMinutes,log10_I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,I_F_dZoneGiveaways,penalityMinutesDrawn,penaltiesDrawn
STL,AWAY,2.075546961392531,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,AWAY,3.036628895362161,-0.07,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
STL,AWAY,2.9355072658247128,-0.07,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
STL,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,AWAY,2.037426497940624,-0.07,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NSH,AWAY,2.03342375548695,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSH,AWAY,3.049218022670181,0.43,0.0,0.0,0.4771212547196624,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.4771212547196624,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
NSH,AWAY,2.840106094456758,0.43,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
NSH,AWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSH,AWAY,2.507855871695831,0.43,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DAL,AWAY,1.5440680443502757,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
