Age,Overall,Potential,International Reputation,Weak Foot,Skill Moves,Height,Weight,Preferred Foot_Right,Body Type_Normal,Body Type_Stocky,Position_Forward,Position_Middle,Position_Reserve,LogValue,LogWage
27,87,88,4.0,4.0,3.0,189,82,1,0,1,0,0,1,18.326370064481125,11.652687407345388
27,86,87,3.0,3.0,4.0,179,69,1,0,1,0,1,0,18.178609182752638,12.154779351142624
30,85,85,2.0,3.0,3.0,172,69,0,0,1,0,0,0,17.654962870557586,10.736396675471232
31,91,91,4.0,5.0,4.0,181,70,1,0,1,0,1,0,18.49300140553199,12.765688433465597
25,86,89,3.0,3.0,3.0,172,68,1,1,0,0,1,0,18.309749183245085,11.608235644774552
27,89,90,4.0,4.0,3.0,177,75,1,1,0,0,1,0,18.474221510880394,11.77528972943772
30,86,86,4.0,4.0,3.0,180,78,0,1,0,0,0,0,17.831893578716663,12.301382825334498
32,83,83,3.0,4.0,4.0,183,80,1,1,0,0,1,0,17.16541464523888,11.018629143155449
28,82,82,3.0,4.0,3.0,186,86,1,0,1,0,0,1,17.23323724157764,11.05089000537367
28,88,88,3.0,4.0,4.0,182,74,1,0,1,0,0,0,18.22830885130491,12.429216196844383
26,84,87,2.0,4.0,3.0,186,77,1,0,0,0,1,0,17.822843743196746,11.461632170582678
36,88,88,4.0,4.0,4.0,172,66,1,0,0,0,1,0,17.182806387950748,12.345834587905333
27,86,87,3.0,5.0,4.0,191,76,1,1,0,0,1,0,18.165788494323575,11.407564949312402
26,83,86,1.0,3.0,3.0,189,83,0,1,0,0,1,0,17.665658159674333,10.799575577092764
27,84,85,3.0,4.0,3.0,184,74,1,0,0,0,1,0,17.686711568872166,11.302204433654575
28,84,84,1.0,3.0,4.0,180,70,1,1,0,0,0,1,17.553180176247643,11.350406535472453
33,84,84,3.0,5.0,4.0,186,80,1,0,0,0,0,1,17.09265529095645,11.77528972943772
25,87,92,3.0,3.0,4.0,180,74,1,0,1,0,1,0,18.57340183097003,12.345834587905333
31,83,83,4.0,3.0,4.0,176,73,0,0,1,1,0,0,17.23323724157764,12.128111104060462
34,83,83,3.0,3.0,5.0,179,72,1,0,0,0,0,0,16.41820024340866,11.695247021764184
29,85,85,3.0,2.0,3.0,184,84,0,1,0,0,1,0,17.785802471516394,10.933106969717286
23,87,90,3.0,4.0,3.0,180,69,1,0,1,0,0,0,18.425668285463406,11.918390573078392
35,84,84,4.0,4.0,3.0,182,86,1,0,1,1,0,0,16.70588231586044,6.907755278982137
23,84,87,2.0,4.0,4.0,181,73,1,0,0,0,0,0,17.795192211866237,11.407564949312402
29,86,86,3.0,4.0,3.0,181,68,1,0,0,0,1,0,17.875953568510692,11.608235644774552
30,90,90,4.0,3.0,4.0,175,71,0,0,1,0,0,0,18.56478108792612,12.506177237980511
22,84,90,1.0,4.0,3.0,181,79,1,0,1,0,1,0,17.95067711470663,11.225243392518447
31,86,86,3.0,3.0,5.0,174,70,1,1,0,0,1,0,17.831893578716663,12.100712129872347
22,84,88,2.0,3.0,3.0,178,87,1,0,1,0,0,0,17.858561825798823,11.695247021764184
33,85,85,3.0,3.0,3.0,170,68,0,0,1,0,0,0,17.14771506813948,12.154779351142624
26,83,86,3.0,3.0,4.0,171,63,0,0,0,0,0,1,17.665658159674333,11.211820372186306
24,80,86,3.0,4.0,4.0,176,70,1,1,0,0,0,1,17.312018119430753,11.184421397998193
31,84,84,2.0,3.0,4.0,176,65,0,0,0,0,1,0,17.37085861945369,10.645424897265505
24,82,86,2.0,3.0,4.0,175,70,0,0,0,0,1,0,17.50439001207821,11.05089000537367
29,80,80,3.0,2.0,3.0,181,71,0,0,1,0,0,1,16.733281290048552,11.608235644774552
29,82,82,3.0,4.0,4.0,181,79,0,0,1,1,0,0,17.23323724157764,11.198214720130528
23,80,85,2.0,3.0,3.0,183,84,1,1,0,0,1,0,17.26549810379586,11.407564949312402
30,89,89,3.0,3.0,2.0,185,84,1,0,1,0,1,0,18.269857854217783,12.611537753638338
25,83,85,2.0,3.0,4.0,171,69,0,1,0,0,0,0,17.553180176247643,11.06663836234181
25,84,86,3.0,4.0,3.0,183,88,1,1,0,0,0,1,17.676240269004868,12.013700752882718
28,82,82,2.0,2.0,3.0,178,74,0,0,1,0,0,0,17.1296965626368,11.512925464970229
33,91,91,5.0,4.0,4.0,185,81,1,0,1,1,0,0,18.246327356807587,12.948009990259552
34,81,81,4.0,4.0,3.0,180,75,1,0,1,0,0,1,16.300417207752275,11.56171562913966
25,78,79,1.0,4.0,4.0,167,65,1,1,0,0,1,0,16.61887093887081,9.852194258148577
24,86,89,3.0,3.0,5.0,175,73,1,1,0,0,0,1,18.358805340234277,11.407564949312402
32,85,85,3.0,2.0,3.0,183,83,1,0,1,0,0,0,17.43985149094064,12.043553716032399
24,85,90,3.0,3.0,3.0,184,81,0,0,1,0,0,0,18.146243898250606,11.314474526246391
31,85,85,3.0,4.0,4.0,180,80,1,1,0,0,0,1,17.599700191882537,12.128111104060462
28,81,81,2.0,3.0,3.0,178,68,1,0,0,0,0,0,17.073607095985757,11.097410021008562
27,82,82,3.0,3.0,3.0,183,76,0,1,0,0,1,0,17.19990082131005,10.985292722887856
31,80,80,3.0,4.0,3.0,175,74,1,0,1,0,1,0,16.67771143889374,11.326595886778735
27,81,81,3.0,3.0,3.0,181,81,1,1,0,0,1,0,17.1296965626368,11.225243392518447
28,89,89,4.0,5.0,3.0,188,89,1,0,1,1,0,0,18.474221510880394,12.388394202324129
30,83,83,3.0,4.0,3.0,176,77,1,1,0,0,1,0,17.356469882001587,11.211820372186306
30,78,78,1.0,3.0,3.0,182,75,1,0,0,0,0,0,16.300417207752275,10.839580911706463
32,83,83,3.0,3.0,3.0,182,80,1,1,0,0,1,0,17.16541464523888,11.813030057420567
35,91,91,5.0,4.0,4.0,169,67,0,0,1,0,0,0,17.80449460452855,12.180754837545884
29,87,87,3.0,4.0,4.0,165,60,1,0,1,0,1,0,18.165788494323575,11.951180395901384
31,81,81,1.0,4.0,3.0,183,77,1,1,0,0,1,0,16.860032995687696,9.852194258148577
23,84,90,1.0,4.0,3.0,182,78,1,0,1,0,0,1,18.0051652999907,12.072541252905651
30,89,89,4.0,4.0,4.0,174,69,1,0,1,1,0,0,18.41566820212882,11.884489021402711
27,81,81,2.0,3.0,4.0,188,84,1,1,0,0,0,1,17.1296965626368,10.571316925111784
24,82,87,2.0,4.0,5.0,180,72,0,1,0,0,1,0,17.64415195445337,11.156250521031495
28,82,82,1.0,3.0,3.0,180,71,1,0,0,0,1,0,17.23323724157764,10.308952660644293
25,84,86,2.0,5.0,4.0,176,72,1,1,0,0,1,0,17.776323727561852,11.652687407345388
29,80,80,3.0,3.0,4.0,169,62,0,0,0,0,1,0,16.835935444108635,11.695247021764184
27,88,88,2.0,3.0,4.0,173,64,0,0,0,0,1,0,18.395362935968077,12.468436909997665
26,82,85,3.0,2.0,3.0,172,67,0,0,0,0,0,0,17.41282281855272,9.852194258148577
25,83,88,2.0,4.0,3.0,180,76,1,1,0,0,1,0,17.785802471516394,10.839580911706463
25,85,89,2.0,5.0,4.0,178,73,1,1,0,0,0,1,18.146243898250606,12.043553716032399
19,84,91,2.0,4.0,4.0,186,75,1,0,0,0,1,0,18.21611357821109,10.621327345686446
29,82,82,2.0,3.0,3.0,188,80,0,0,0,0,1,0,17.19990082131005,11.170435156023453
31,84,84,2.0,4.0,3.0,173,71,1,1,0,0,0,0,17.23323724157764,11.695247021764184
31,84,84,3.0,4.0,3.0,180,74,1,1,0,0,0,1,16.785925023533974,11.77528972943772
30,81,81,2.0,4.0,2.0,182,79,0,1,0,0,0,1,16.883563493097892,10.404262840448617
23,91,95,4.0,4.0,5.0,182,73,1,0,1,1,0,0,19.06516275253103,12.345834587905333
22,81,88,1.0,3.0,3.0,185,77,1,0,0,0,1,0,17.776323727561852,10.915088464214607
32,82,82,2.0,3.0,3.0,181,80,0,1,0,0,0,0,16.860032995687696,10.46310334047155
29,81,81,3.0,5.0,5.0,173,66,1,1,0,0,0,0,17.054189010128656,10.596634733096073
25,76,80,1.0,4.0,4.0,175,70,1,1,0,0,1,0,16.166885815127753,10.085809109330082
28,80,80,3.0,4.0,3.0,178,76,1,1,0,0,0,1,16.860032995687696,11.112447898373103
28,84,84,3.0,4.0,4.0,178,76,1,1,0,0,1,0,17.553180176247643,11.512925464970229
25,83,86,2.0,4.0,3.0,180,80,1,1,0,0,1,0,17.676240269004868,11.56171562913966
34,79,79,1.0,4.0,3.0,180,79,1,1,0,0,1,0,15.89495209964411,10.126631103850338
28,81,81,2.0,4.0,4.0,183,71,0,1,0,0,1,0,17.054189010128656,11.082142548877775
28,82,82,3.0,2.0,4.0,170,71,0,1,0,0,0,0,17.1296965626368,10.950806546816688
21,84,89,3.0,4.0,4.0,185,77,0,0,1,0,0,0,17.91815392300107,10.985292722887856
33,79,79,2.0,3.0,3.0,181,74,1,1,0,0,0,1,16.213405830762646,10.915088464214607
24,80,84,2.0,2.0,3.0,183,77,0,1,0,0,1,0,17.216707939626428,10.799575577092764
29,79,79,2.0,3.0,3.0,177,67,1,1,0,0,0,1,16.523560759066484,10.645424897265505
29,85,85,4.0,4.0,5.0,191,84,1,0,1,0,0,1,17.776323727561852,12.013700752882718
36,83,83,2.0,2.0,4.0,172,60,1,0,0,0,0,0,15.89495209964411,10.239959789157341
28,83,83,3.0,4.0,3.0,175,70,1,0,1,0,0,0,17.312018119430753,11.56171562913966
28,87,88,3.0,2.0,3.0,188,78,1,0,1,0,1,0,18.159315979817958,12.128111104060462
27,80,81,3.0,4.0,3.0,184,75,0,0,0,0,0,1,16.99356438831222,10.968198289528557
24,86,90,3.0,4.0,4.0,174,72,1,0,1,1,0,0,18.405567106142318,11.608235644774552
33,86,86,2.0,4.0,3.0,182,74,1,1,0,0,1,0,17.553180176247643,11.06663836234181
26,81,83,1.0,3.0,4.0,177,68,0,1,0,0,0,1,17.26549810379586,11.512925464970229
30,83,83,3.0,4.0,5.0,181,76,1,0,1,0,0,1,17.385043254445645,11.918390573078392
29,80,80,2.0,3.0,3.0,185,78,0,1,0,0,0,0,16.733281290048552,10.968198289528557
37,90,90,5.0,4.0,5.0,187,83,1,0,1,1,0,0,17.529082624668582,12.301382825334498
27,83,84,1.0,5.0,4.0,180,73,0,0,1,0,0,0,17.45309671769066,12.043553716032399
30,89,89,5.0,5.0,5.0,175,68,1,0,1,0,0,0,18.41566820212882,12.206072645530174
32,81,81,4.0,3.0,4.0,185,82,0,0,1,1,0,0,16.835935444108635,9.546812608597396
27,81,82,2.0,4.0,3.0,187,83,1,1,0,0,1,0,17.09265529095645,10.950806546816688
25,83,84,2.0,3.0,3.0,180,72,1,0,0,0,1,0,17.466168799258014,11.06663836234181
33,85,85,4.0,4.0,4.0,180,71,1,0,1,0,1,0,17.327055996795295,11.26446410567173
28,80,81,2.0,2.0,3.0,184,74,0,1,0,0,1,0,16.835935444108635,10.839580911706463
31,89,89,4.0,3.0,2.0,168,70,1,0,1,0,1,0,18.09217667698033,12.301382825334498
28,87,87,3.0,2.0,3.0,178,64,0,0,1,0,0,0,18.09217667698033,12.128111104060462
31,79,79,3.0,4.0,3.0,173,67,1,0,1,0,0,1,16.34123920227253,11.002099841204238
36,81,81,3.0,3.0,3.0,183,83,1,1,0,0,0,1,14.151982794585487,9.210340371976184
28,85,85,3.0,4.0,4.0,185,73,1,0,0,0,1,0,17.81371125963347,11.407564949312402
28,82,82,2.0,4.0,4.0,190,80,0,0,1,1,0,0,17.24949776244942,11.06663836234181
31,81,81,2.0,4.0,4.0,173,70,1,1,0,0,0,1,16.733281290048552,11.84939770159144
