Age,Overall,Potential,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
27,87,88,91000000.0,115000.0,Right,4.0,4.0,3.0,Stocky,Reserve,189,82
27,86,87,78500000.0,190000.0,Right,3.0,3.0,4.0,Stocky,Middle,179,69
30,85,85,46500000.0,46000.0,Left,2.0,3.0,3.0,Stocky,Back,172,69
31,91,91,107500000.0,350000.0,Right,4.0,5.0,4.0,Stocky,Middle,181,70
25,86,89,89500000.0,110000.0,Right,3.0,3.0,3.0,Normal,Middle,172,68
27,89,90,105500000.0,130000.0,Right,4.0,4.0,3.0,Normal,Middle,177,75
30,86,86,55500000.0,220000.0,Left,4.0,4.0,3.0,Normal,Back,180,78
32,83,83,28500000.0,61000.0,Right,3.0,4.0,4.0,Normal,Middle,183,80
28,82,82,30500000.0,63000.0,Right,3.0,4.0,3.0,Stocky,Reserve,186,86
28,88,88,82500000.0,250000.0,Right,3.0,4.0,4.0,Stocky,Back,182,74
26,84,87,55000000.0,95000.0,Right,2.0,4.0,3.0,Lean,Middle,186,77
36,88,88,29000000.0,230000.0,Right,4.0,4.0,4.0,Lean,Middle,172,66
27,86,87,77500000.0,90000.0,Right,3.0,5.0,4.0,Normal,Middle,191,76
26,83,86,47000000.0,49000.0,Left,1.0,3.0,3.0,Normal,Middle,189,83
27,84,85,48000000.0,81000.0,Right,3.0,4.0,3.0,Lean,Middle,184,74
28,84,84,42000000.0,85000.0,Right,1.0,3.0,4.0,Normal,Reserve,180,70
33,84,84,26500000.0,130000.0,Right,3.0,5.0,4.0,Lean,Reserve,186,80
25,87,92,116500000.0,230000.0,Right,3.0,3.0,4.0,Stocky,Middle,180,74
31,83,83,30500000.0,185000.0,Left,4.0,3.0,4.0,Stocky,Forward,176,73
34,83,83,13500000.0,120000.0,Right,3.0,3.0,5.0,Lean,Back,179,72
29,85,85,53000000.0,56000.0,Left,3.0,2.0,3.0,Normal,Middle,184,84
