loanAmnt;annualInc;application_type;int_rate;revol_bal;revol_util;dti;emp_length;grade;homeOwnership;installment;job;loanDefault;mortAcc;pub_rec_bankruptcies;purpose;term;Year
10000.0;117000.0;INDIVIDUAL;11.44;36369.0;41.80;26.24;10;B;RENT;329.48;Marketing;Fully Paid;16;0;vacation;36;2015
8000.0;65000.0;INDIVIDUAL;11.99;20131.0;53.30;22.05;4;B;MORTGAGE;265.68;Credit analyst ;Fully Paid;17;0;debt_consolidation;36;2015
15600.0;43057.0;INDIVIDUAL;10.49;11987.0;92.20;12.79;1;B;RENT;506.97;Statistician;Fully Paid;13;0;credit_card;36;2015
7200.0;54000.0;INDIVIDUAL;6.49;5472.0;21.50;2.60;6;A;RENT;220.65;Client Advocate;Fully Paid;6;0;credit_card;36;2014
24375.0;55000.0;INDIVIDUAL;17.27;24584.0;69.80;33.95;9;C;MORTGAGE;609.33;Destiny Management Inc.;Charged Off;13;0;credit_card;60;2013
20000.0;86788.0;INDIVIDUAL;13.33;25757.0;100.60;16.31;10;C;MORTGAGE;677.07;HR Specialist;Fully Paid;8;0;debt_consolidation;36;2015
18000.0;125000.0;INDIVIDUAL;5.32;4178.0;4.90;1.36;2;A;MORTGAGE;542.07;Software Development Engineer;Fully Paid;8;0;home_improvement;36;2015
13000.0;46000.0;INDIVIDUAL;11.14;13425.0;64.50;26.87;10;B;RENT;426.47;Office Depot;Fully Paid;11;0;credit_card;36;2012
18900.0;103000.0;INDIVIDUAL;10.99;18637.0;32.90;12.52;10;B;RENT;410.84;Application Architect;Fully Paid;13;0;debt_consolidation;60;2014
26300.0;115000.0;INDIVIDUAL;16.29;22171.0;82.40;23.69;3;C;MORTGAGE;928.40;Regado Biosciences;Fully Paid;13;0;debt_consolidation;36;2012
10000.0;95000.0;INDIVIDUAL;13.11;4702.0;64.40;12.04;2;B;RENT;337.47;Sodexo;Fully Paid;5;1;debt_consolidation;36;2013
35000.0;130000.0;INDIVIDUAL;14.64;81263.0;18.70;12.19;8;C;MORTGAGE;1207.13;Director Bureau of Equipment Inventory;Fully Paid;30;0;credit_card;36;2014
7500.0;55000.0;JOINT;9.17;17838.0;54.90;28.21;7;B;OWN;239.10;Social Work/Care Manager;Fully Paid;13;0;debt_consolidation;36;2015
35000.0;157000.0;INDIVIDUAL;12.29;113091.0;94.90;29.39;10;C;MORTGAGE;783.70;Regional Counsel;Fully Paid;17;0;debt_consolidation;60;2015
25975.0;65000.0;INDIVIDUAL;6.62;5140.0;7.20;9.18;9;A;MORTGAGE;797.53;Pullman Regional Hospital;Fully Paid;9;0;small_business;36;2012
18000.0;45000.0;INDIVIDUAL;8.39;551.0;11.70;12.81;8;A;MORTGAGE;567.30;firefighter;Fully Paid;5;0;major_purchase;36;2014
32350.0;72000.0;INDIVIDUAL;21.98;23603.0;78.40;18.08;10;E;MORTGAGE;893.11;Comcast Corporate office;Fully Paid;16;0;debt_consolidation;60;2013
11200.0;81000.0;INDIVIDUAL;12.29;5874.0;54.90;12.87;10;C;MORTGAGE;250.79;principal;Fully Paid;6;1;debt_consolidation;60;2015
34000.0;130580.0;INDIVIDUAL;7.90;8767.0;11.90;25.40;10;A;RENT;1063.87;Pilot;Fully Paid;16;0;debt_consolidation;36;2014
20000.0;85000.0;INDIVIDUAL;6.97;24195.0;55.70;18.80;7;A;MORTGAGE;617.27;Registered Nurse;Fully Paid;15;0;debt_consolidation;36;2016
9200.0;65000.0;INDIVIDUAL;6.62;6448.0;22.90;10.81;1;A;RENT;282.48;Personal Trainer;Fully Paid;12;0;debt_consolidation;36;2014
7350.0;54800.0;INDIVIDUAL;13.11;3240.0;37.20;7.47;10;B;MORTGAGE;248.05;Francis Howell School District;Fully Paid;10;0;debt_consolidation;36;2013
4200.0;24000.0;INDIVIDUAL;6.99;0.0;0.00;4.80;5;A;OWN;129.67;midstate steel llc;Fully Paid;6;0;other;36;2011
20000.0;55000.0;INDIVIDUAL;8.39;21497.0;43.90;9.23;10;A;OWN;630.34;Office Manager;Fully Paid;9;0;debt_consolidation;36;2014
5000.0;75000.0;INDIVIDUAL;15.61;3120.0;19.10;13.58;5;D;RENT;174.83;Operations Manager;Fully Paid;9;0;vacation;36;2015
6000.0;46680.0;INDIVIDUAL;11.36;4370.0;40.10;6.56;2;B;RENT;197.47;CSU Monterey Bay;Charged Off;9;0;medical;36;2010
8400.0;35000.0;INDIVIDUAL;13.35;6953.0;74.80;23.08;6;C;RENT;284.45;Bartender;Charged Off;6;0;debt_consolidation;36;2014
23050.0;80000.0;INDIVIDUAL;12.12;26693.0;24.60;25.47;3;B;RENT;766.92;Anheuser-Busch ;Fully Paid;18;0;debt_consolidation;36;2013
15000.0;79000.0;INDIVIDUAL;9.99;13658.0;56.70;17.27;10;B;MORTGAGE;483.94;Teacher;Fully Paid;13;0;debt_consolidation;36;2013
20000.0;87000.0;INDIVIDUAL;8.19;26330.0;56.10;15.32;10;A;MORTGAGE;628.49;Sr. Business Analyst;Fully Paid;15;0;debt_consolidation;36;2014
13200.0;71000.0;INDIVIDUAL;18.75;30464.0;72.40;29.54;10;D;RENT;482.20;Medtronic, Inc.;Fully Paid;9;0;other;36;2013
4600.0;29400.0;INDIVIDUAL;12.29;10112.0;65.70;29.63;5;C;RENT;153.43;Stocker;Fully Paid;12;0;credit_card;36;2015
3000.0;64000.0;INDIVIDUAL;6.03;4912.0;13.40;3.81;1;A;OWN;91.31;American Heart Association;Fully Paid;6;0;credit_card;36;2011
20000.0;95000.0;INDIVIDUAL;12.29;16498.0;54.10;11.82;3;C;RENT;667.06;Senior Software Engineer;Fully Paid;11;0;debt_consolidation;36;2015
12725.0;43000.0;INDIVIDUAL;14.99;10264.0;71.30;28.80;10;C;RENT;441.06;dealer;Fully Paid;10;0;debt_consolidation;36;2014
5375.0;34000.0;INDIVIDUAL;13.11;14998.0;88.70;26.12;7;B;RENT;181.39;System Administrator;Fully Paid;9;1;credit_card;36;2013
3250.0;22500.0;INDIVIDUAL;16.78;7587.0;54.60;18.76;7;C;RENT;115.52;Store manager;Charged Off;7;0;debt_consolidation;36;2013
15000.0;90000.0;INDIVIDUAL;13.67;4707.0;52.30;21.44;10;B;MORTGAGE;510.27;facility technician;Fully Paid;10;0;debt_consolidation;36;2013
15000.0;52000.0;INDIVIDUAL;13.35;18391.0;60.70;11.68;7;C;RENT;507.95;Housekeeper;Fully Paid;13;0;credit_card;36;2014
10800.0;51840.0;INDIVIDUAL;13.98;15727.0;82.80;25.60;4;C;RENT;369.02;Shift Supervisor;Fully Paid;11;0;credit_card;36;2014
35000.0;130000.0;INDIVIDUAL;16.99;34130.0;53.80;14.03;4;D;MORTGAGE;869.66;Bookkeeper;Fully Paid;10;0;debt_consolidation;60;2014
28000.0;52000.0;INDIVIDUAL;19.91;29178.0;87.60;20.70;10;E;RENT;312.04;American Airlines;Charged Off;10;0;debt_consolidation;60;2011
21000.0;80000.0;INDIVIDUAL;17.86;4189.0;13.00;15.67;2;D;MORTGAGE;531.67;laborer;Fully Paid;15;0;debt_consolidation;60;2015
8400.0;120000.0;INDIVIDUAL;12.12;28739.0;71.30;29.56;10;B;RENT;279.49;Vegas.com;Fully Paid;11;0;debt_consolidation;36;2013
11950.0;30000.0;INDIVIDUAL;16.29;2975.0;51.30;13.73;10;D;RENT;292.45;labor;Fully Paid;6;0;debt_consolidation;60;2014
6700.0;21000.0;INDIVIDUAL;21.49;5832.0;14.70;10.86;1;D;RENT;254.12;Home attendant ;Fully Paid;15;0;debt_consolidation;36;2016
16000.0;78000.0;INDIVIDUAL;12.99;18863.0;75.20;23.31;10;B;MORTGAGE;539.03;Payroll Manager;Fully Paid;15;0;debt_consolidation;36;2014
20000.0;64000.0;INDIVIDUAL;13.67;28236.0;51.30;21.91;10;B;MORTGAGE;680.36;Litigation Paralegal;Fully Paid;18;0;debt_consolidation;36;2013
16000.0;40000.0;INDIVIDUAL;18.54;13179.0;55.60;37.26;3;E;RENT;411.01;Accountant;Charged Off;16;0;debt_consolidation;60;2014
15000.0;90000.0;INDIVIDUAL;7.89;8205.0;93.20;11.75;6;A;MORTGAGE;469.29;Program Manager;Fully Paid;7;0;debt_consolidation;36;2016
12875.0;58000.0;INDIVIDUAL;17.10;11417.0;54.10;16.88;8;C;OWN;459.67;Cracker Barrel Old Country Store;Fully Paid;11;0;medical;36;2013
15000.0;75000.0;INDIVIDUAL;18.25;41310.0;59.60;24.43;8;D;MORTGAGE;382.95;Rn;Fully Paid;18;0;debt_consolidation;60;2016
8000.0;55000.0;INDIVIDUAL;11.67;6725.0;21.20;25.35;9;B;OWN;264.46;Client Support Specialist;Fully Paid;15;0;debt_consolidation;36;2014
14000.0;100000.0;INDIVIDUAL;6.24;31612.0;71.50;19.01;2;A;MORTGAGE;427.44;Branch Manager;Fully Paid;11;0;debt_consolidation;36;2015
12000.0;60000.0;INDIVIDUAL;8.18;21750.0;59.90;20.34;7;B;MORTGAGE;244.36;clinical therapist;Charged Off;7;0;debt_consolidation;60;2015
15000.0;40000.0;INDIVIDUAL;13.98;9207.0;51.70;14.55;3;C;OWN;512.52;Armored Car Guard;Fully Paid;4;1;debt_consolidation;36;2014
